[2026-07-15T00:51:22.500385] BLOCK 84.13.220.92 | class=DDoS | predicted=DDoS confidence=1.000 >= block_threshold | TEMPORARY (60m) | offense#1 | would run: iptables -A INPUT -s 84.13.220.92 -j DROP
[2026-07-15T00:51:22.627611] BLOCK 44.110.35.91 | class=PortScan | predicted=PortScan confidence=1.000 >= block_threshold | TEMPORARY (60m) | offense#1 | would run: iptables -A INPUT -s 44.110.35.91 -j DROP
[2026-07-15T00:51:22.646131] BLOCK 176.124.60.4 | class=DDoS | predicted=DDoS confidence=1.000 >= block_threshold | TEMPORARY (60m) | offense#1 | would run: iptables -A INPUT -s 176.124.60.4 -j DROP
[2026-07-15T00:51:22.740437] BLOCK 165.196.130.40 | class=DDoS | predicted=DDoS confidence=0.940 >= block_threshold | TEMPORARY (60m) | offense#1 | would run: iptables -A INPUT -s 165.196.130.40 -j DROP
[2026-07-15T00:51:22.758726] BLOCK 217.251.27.236 | class=PortScan | predicted=PortScan confidence=1.000 >= block_threshold | TEMPORARY (60m) | offense#1 | would run: iptables -A INPUT -s 217.251.27.236 -j DROP
[2026-07-15T00:51:22.832194] BLOCK 60.76.63.88 | class=PortScan | predicted=PortScan confidence=1.000 >= block_threshold | TEMPORARY (60m) | offense#1 | would run: iptables -A INPUT -s 60.76.63.88 -j DROP
[2026-07-15T00:51:22.869067] BLOCK 169.106.26.151 | class=Infiltration | predicted=Infiltration confidence=1.000 >= block_threshold | TEMPORARY (60m) | offense#1 | would run: iptables -A INPUT -s 169.106.26.151 -j DROP
[2026-07-15T00:51:22.905999] BLOCK 88.210.115.254 | class=PortScan | predicted=PortScan confidence=1.000 >= block_threshold | TEMPORARY (60m) | offense#1 | would run: iptables -A INPUT -s 88.210.115.254 -j DROP
[2026-07-15T00:51:23.015232] BLOCK 131.38.226.16 | class=Brute Force | predicted=Brute Force confidence=1.000 >= block_threshold | TEMPORARY (60m) | offense#1 | would run: iptables -A INPUT -s 131.38.226.16 -j DROP
[2026-07-15T00:51:23.143904] BLOCK 164.110.168.112 | class=Brute Force | predicted=Brute Force confidence=1.000 >= block_threshold | TEMPORARY (60m) | offense#1 | would run: iptables -A INPUT -s 164.110.168.112 -j DROP
[2026-07-15T00:51:23.162401] BLOCK 86.49.202.89 | class=DDoS | predicted=DDoS confidence=0.990 >= block_threshold | TEMPORARY (60m) | offense#1 | would run: iptables -A INPUT -s 86.49.202.89 -j DROP
